,timestamp,steps,new_steps,date,minutes,Detal_time,Detal_steps,freq
0,1567117989,874345,0,2019-08-30 06:33:09,393,,,
2,1567118070,874354,9,2019-08-30 06:34:30,394,1.0,9.0,9.0
3,1567121688,874506,161,2019-08-30 07:34:48,454,60.0,152.0,2.533333333333333
4,1567122082,874558,213,2019-08-30 07:41:22,461,7.0,52.0,7.428571428571429
5,1567123012,874568,223,2019-08-30 07:56:52,476,15.0,10.0,0.6666666666666666
6,1567123171,874568,223,2019-08-30 07:59:31,479,3.0,0.0,0.0
7,1567137428,877781,3436,2019-08-30 11:57:08,717,238.0,3213.0,13.5
8,1567142070,878787,4442,2019-08-30 13:14:30,794,77.0,1006.0,13.064935064935066
10,1567142330,879249,4904,2019-08-30 13:18:50,798,4.0,462.0,115.5
19,1567142340,879262,4917,2019-08-30 13:19:00,799,1.0,13.0,13.0
24,1567144948,879522,5177,2019-08-30 14:02:28,842,43.0,260.0,6.046511627906977
27,1567147155,881260,6915,2019-08-30 14:39:15,879,37.0,1738.0,46.972972972972975
28,1567148005,881317,6972,2019-08-30 14:53:25,893,14.0,57.0,4.071428571428571
29,1567148716,881317,6972,2019-08-30 15:05:16,905,12.0,0.0,0.0
30,1567151987,881317,6972,2019-08-30 15:59:47,959,54.0,0.0,0.0
31,1567153511,881317,6972,2019-08-30 16:25:11,985,26.0,0.0,0.0
32,1567153612,881317,6972,2019-08-30 16:26:52,986,1.0,0.0,0.0
33,1567155438,881554,7209,2019-08-30 16:57:18,1017,31.0,237.0,7.645161290322581
34,1567162138,882063,7718,2019-08-30 18:48:58,1128,111.0,509.0,4.585585585585585
35,1567163173,882852,8507,2019-08-30 19:06:13,1146,18.0,789.0,43.833333333333336
41,1567163380,883020,8675,2019-08-30 19:09:40,1149,3.0,168.0,56.0
44,1567163671,883272,8927,2019-08-30 19:14:31,1154,5.0,252.0,50.4
49,1567163700,883321,8976,2019-08-30 19:15:00,1155,1.0,49.0,49.0
51,1567163950,883438,9093,2019-08-30 19:19:10,1159,4.0,117.0,29.25
54,1567171037,883573,9228,2019-08-30 21:17:17,1277,118.0,135.0,1.1440677966101696
56,1567174140,883573,9228,2019-08-30 22:09:00,1329,52.0,0.0,0.0
